------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version,2.4
EnvLogger Viewer version,3.9
downloading device type, android
device, SM-G930F
downloading mode, manual
------------------------------,--------------------
serial number, 0445 8800 1115 09
custom name, A3
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution,0.1
samples,2844
time diff [logger-smartphone](sec),113
lat,48.83467
long,-125.135659
accuracy (m),24
------------------------------,--------------------
time,temp
2021-03-25 8:48,8.7
2021-03-25 9:18,8.7
2021-03-25 9:48,8.7
2021-03-25 10:18,8.7
2021-03-25 10:48,8.8
2021-03-25 11:18,8.8
2021-03-25 11:48,8.7
2021-03-25 12:18,8.7
2021-03-25 12:48,8.7
2021-03-25 13:18,8.7
2021-03-25 13:48,8.7
2021-03-25 14:18,8.7
2021-03-25 14:48,8.7
2021-03-25 15:18,8.6
2021-03-25 15:48,8.6
2021-03-25 16:18,8.6
2021-03-25 16:48,8.7
2021-03-25 17:18,8.7
2021-03-25 17:48,8.7
2021-03-25 18:18,8.8
2021-03-25 18:48,8.7
2021-03-25 19:18,8.7
2021-03-25 19:48,8.8
2021-03-25 20:18,8.7
2021-03-25 20:48,8.8
2021-03-25 21:18,8.8
2021-03-25 21:48,8.7
2021-03-25 22:18,8.8
2021-03-25 22:48,8.7
2021-03-25 23:18,8.7
2021-03-25 23:48,8.7
2021-03-26 0:18,8.6
2021-03-26 0:48,8.6
2021-03-26 1:18,8.6
2021-03-26 1:48,8.6
2021-03-26 2:18,8.5
2021-03-26 2:48,8.6
2021-03-26 3:18,8.6
2021-03-26 3:48,8.6
2021-03-26 4:18,8.6
2021-03-26 4:48,8.8
2021-03-26 5:18,8.7
2021-03-26 5:48,8.7
2021-03-26 6:18,8.8
2021-03-26 6:48,8.8
2021-03-26 7:18,8.7
2021-03-26 7:48,8.8
2021-03-26 8:18,8.7
2021-03-26 8:48,8.8
2021-03-26 9:18,8.8
2021-03-26 9:48,8.9
2021-03-26 10:18,8.8
2021-03-26 10:48,8.7
2021-03-26 11:18,8.7
2021-03-26 11:48,8.6
2021-03-26 12:18,8.6
2021-03-26 12:48,8.6
2021-03-26 13:18,8.6
2021-03-26 13:48,8.5
2021-03-26 14:18,8.5
2021-03-26 14:48,8.6
2021-03-26 15:18,8.6
2021-03-26 15:48,8.6
2021-03-26 16:18,8.6
2021-03-26 16:48,8.6
2021-03-26 17:18,8.6
2021-03-26 17:48,8.6
2021-03-26 18:18,8.6
2021-03-26 18:48,8.6
2021-03-26 19:18,8.6
2021-03-26 19:48,8.7
2021-03-26 20:18,8.7
2021-03-26 20:48,8.7
2021-03-26 21:18,8.7
2021-03-26 21:48,8.7
2021-03-26 22:18,8.8
2021-03-26 22:48,8.8
2021-03-26 23:18,8.7
2021-03-26 23:48,8.7
2021-03-27 0:18,8.7
2021-03-27 0:48,8.6
2021-03-27 1:18,8.6
2021-03-27 1:48,8.6
2021-03-27 2:18,8.6
2021-03-27 2:48,8.6
2021-03-27 3:18,8.6
2021-03-27 3:48,8.6
2021-03-27 4:18,8.6
2021-03-27 4:48,8.6
2021-03-27 5:18,8.6
2021-03-27 5:48,8.6
2021-03-27 6:18,9.1
2021-03-27 6:48,8.9
2021-03-27 7:18,9
2021-03-27 7:48,8.9
2021-03-27 8:18,8.8
2021-03-27 8:48,9
2021-03-27 9:18,8.9
2021-03-27 9:48,9
2021-03-27 10:18,9
2021-03-27 10:48,8.9
2021-03-27 11:18,9
2021-03-27 11:48,8.9
2021-03-27 12:18,8.9
2021-03-27 12:48,8.8
2021-03-27 13:18,8.8
2021-03-27 13:48,8.8
2021-03-27 14:18,8.8
2021-03-27 14:48,8.8
2021-03-27 15:18,8.8
2021-03-27 15:48,8.8
2021-03-27 16:18,8.8
2021-03-27 16:48,8.8
2021-03-27 17:18,8.8
2021-03-27 17:48,8.9
2021-03-27 18:18,8.9
2021-03-27 18:48,8.8
2021-03-27 19:18,8.9
2021-03-27 19:48,8.8
2021-03-27 20:18,8.8
2021-03-27 20:48,8.8
2021-03-27 21:18,8.9
2021-03-27 21:48,8.9
2021-03-27 22:18,8.9
2021-03-27 22:48,8.8
2021-03-27 23:18,8.8
2021-03-27 23:48,8.9
2021-03-28 0:18,8.9
2021-03-28 0:48,8.8
2021-03-28 1:18,8.9
2021-03-28 1:48,8.8
2021-03-28 2:18,8.8
2021-03-28 2:48,8.8
2021-03-28 3:18,8.8
2021-03-28 3:48,8.8
2021-03-28 4:18,8.8
2021-03-28 4:48,8.8
2021-03-28 5:18,8.8
2021-03-28 5:48,8.8
2021-03-28 6:18,8.8
2021-03-28 6:48,8.8
2021-03-28 7:18,8.8
2021-03-28 7:48,8.9
2021-03-28 8:18,8.9
2021-03-28 8:48,8.9
2021-03-28 9:18,8.9
2021-03-28 9:48,8.8
2021-03-28 10:18,8.9
2021-03-28 10:48,8.9
2021-03-28 11:18,8.9
2021-03-28 11:48,8.9
2021-03-28 12:18,8.9
2021-03-28 12:48,8.8
2021-03-28 13:18,8.8
2021-03-28 13:48,8.8
2021-03-28 14:18,8.8
2021-03-28 14:48,8.8
2021-03-28 15:18,8.7
2021-03-28 15:48,8.7
2021-03-28 16:18,8.7
2021-03-28 16:48,8.7
2021-03-28 17:18,8.8
2021-03-28 17:48,8.8
2021-03-28 18:18,8.7
2021-03-28 18:48,8.8
2021-03-28 19:18,8.7
2021-03-28 19:48,8.8
2021-03-28 20:18,8.8
2021-03-28 20:48,8.7
2021-03-28 21:18,8.8
2021-03-28 21:48,8.7
2021-03-28 22:18,8.8
2021-03-28 22:48,8.9
2021-03-28 23:18,8.8
